ump,zona_u_r,region_3,elec_pres_urna_30,elec_pres_urna_31,elec_pres_urna_32,elec_pres_urna_33,bienestar_2,bienestar_3,percepcion_2,percepcion_3,percepcion_5,percepcion_6,percepcion_38,percepcion_4,eval_gob_1,iden_pol_2,eval_act_pol_1_fh,eval_act_pol_1_ae,eval_act_pol_1_el,eval_act_pol_1_dv,eval_act_pol_1_em,eval_act_pol_1_hb,eval_act_pol_1_ft,eval_act_pol_1_gq,eval_act_pol_1_gw,eval_act_pol_1_hd,eval_act_pol_1_x,eval_act_pol_1_gt,eval_act_pol_1_fa,eval_act_pol_1_hc,eval_act_pol_1_gx,confianza_6_a,confianza_6_b,confianza_6_c,confianza_6_j,confianza_6_d,confianza_6_e,confianza_6_f,confianza_6_n,confianza_6_x,confianza_6_g,confianza_6_h,confianza_6_i,confianza_6_k,confianza_6_s,confianza_6_o,confianza_6_p,confianza_6_r,confianza_6_m,confianza_6_ab,confianza_6_ac,democracia_38,pobreza_63,pobreza_62,religion_14,religion_64,democracia_21,democracia_37_a,democracia_37_b,democracia_37_c,democracia_37_d,pp_congreso_61_b,polarizacion_1_a,polarizacion_1_b,polarizacion_6_a,polarizacion_6_b,polarizacion_6_c,polarizacion_6_d,polarizacion_6_e,confianza_17,interes_pol_1_b,interes_pol_2_a,interes_pol_2_b,interes_pol_2_c,interes_pol_2_d,interes_pol_2_e,interes_pol_2_f,iden_pol_3,iden_pol_3_a,elec_part_37,elec_pres_144_a,elec_pres_144_b2,elec_pres_125,elec_part_4,elec_pres_1_responde,elec_pres_2_responde,elec_pres_148,elec_pres_149_a,elec_pres_149_b,elec_pres_149_c,elec_pres_149_d,elec_pres_149_e,elec_pres_149_f,elec_pres_149_g,elec_pres_149_h,elec_pres_150_a,elec_pres_150_b,elec_pres_150_c,elec_pres_151_a,elec_pres_151_b,elec_pres_151_c,elec_pres_151_d,elec_pres_151_e,elec_pres_151_f,elec_pres_151_g,elec_pres_151_h,elec_pres_152_a,elec_pres_152_b,elec_pres_152_c,elec_pres_152_d,elec_pres_152_e,elec_pres_152_f,elec_pres_153_a,elec_pres_153_b,elec_pres_153_c,elec_pres_153_d,elec_pres_153_e,elec_pres_153_f,elec_pres_153_g,elec_pres_153_h,elec_pres_145_a,elec_pres_145_b,democracia_12,anomia_4_a,bienestar_19_c,bienestar_19_d,bienestar_19_e,rol_gobierno_16,ciudadania_16,ciudadania_34,sexo,edad,nac_dia,nac_mes,nac_ano,info_enc_59_2_otro,info_enc_58,info_enc_30_b,info_enc_30_b_otro,mtf_60_aux,mtf_60,info_enc_50_a_aux,info_enc_50_a,estado_civil_g,educacion_104_a,info_enc_61,info_enc_57,info_hogar_28_c,info_enc_12_c,info_enc_12_c_otro,info_enc_35,info_enc_20_c,info_hogar_3_c,gse,pond,encuesta,encuesta_a,encuesta_m,id_bu_encuesta,id_bu,percepcion_1_a,percepcion_1_b,percepcion_1_c,democracia_20,elec_pres_147,elec_parla_36_a,elec_parla_36_b,elec_parla_36_c,elec_parla_36_d,elec_parla_36_e,elec_parla_36_f,esc_nivel_1_c,info_enc_59_2,estrato,secu
96,1,8,5,2,1,2,10,5,2,1,3,1,4,3,2,3,1,6,3,5,6,6,3,3,6,5,5,3,6,6,6,3,2,2,3,3,1,4,2,3,2,2,4,4,2,2,3,2,2,2,3,8,5,5,2,2,2,1,1,3,2,1,4,5,5,5,5,5,5,3,4,3,2,3,2,2,3,9,,1,2,,3,1,1,1,5,3,3,2,2,2,3,3,2,2,1,2,5,5,1,10,10,5,5,5,8,8,3,5,8,5,8,5,5,5,5,5,5,5,7,6,3,3,3,4,4,3,4,3,2,25,2,6,2000,,1,5,,1,0,,,5,4,2,1,,2,,1,8,8,4,0.585493646148984,95,2025,9,1,1-95,1,13,4,3,3,2,2,1,1,1,1,8,1,12,95096
197,1,13,11,5,5,5,5,5,2,2,3,3,3,2,1,-9,5,2,3,1,2,2,1,2,1,1,1,5,2,3,1,2,3,2,2,3,2,3,2,3,2,3,2,3,3,3,3,2,2,3,3,5,4,3,2,2,2,2,3,3,3,2,2,5,10,1,2,2,1,4,5,2,2,2,3,2,3,15,15,1,1,,2,1,1,1,3,3,3,1,3,3,3,3,3,1,3,1,2,3,1,8,8,7,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,1,2,3,4,4,4,4,3,7,2,63,18,11,1961,,2,,,1,3,1,1,1,4,2,2,5,1,,3,3,4,3,0.527451903311884,95,2025,9,2,2-95,16,10,1,2,-9,1,1,1,2,2,1,4,1,20,95197
197,1,13,4,2,1,2,5,5,3,3,2,2,4,2,2,10,2,3,2,5,3,2,4,4,2,5,4,1,3,2,3,2,3,1,4,4,2,2,4,3,2,2,4,2,3,2,3,2,1,2,3,2,5,3,2,2,3,1,1,4,4,2,10,1,1,10,10,8,8,3,3,2,2,3,2,2,3,27,,1,2,,2,1,1,1,4,2,3,3,1,2,2,2,2,2,1,2,0,3,1,10,10,8,5,10,4,4,4,4,6,4,4,4,4,4,4,4,4,4,12,7,2,3,4,4,4,3,4,2,1,61,8,3,1963,,2,,,1,0,,,8,4,2,1,,1,,1,4,4,4,0.26649232598688,95,2025,9,3,3-95,6,3,14,4,5,2,2,2,1,1,2,4,1,20,95197
12,1,2,4,2,2,2,3,1,1,2,3,3,5,3,2,8,1,3,1,3,1,1,3,1,2,5,1,1,3,2,6,3,2,2,4,4,3,4,2,3,4,2,4,4,2,2,4,2,3,3,3,10,10,10,2,3,1,1,2,3,1,2,10,0,0,2,10,2,0,3,2,1,2,1,2,1,1,27,,1,2,,2,1,1,1,4,3,3,3,1,3,3,3,3,2,1,2,0,0,0,10,7,4,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,2,-8,-8,3,5,1,1,62,14,12,1962,,2,,,1,3,1,3,6,6,2,1,,2,,1,4,4,3,0.473981389641528,95,2025,9,4,4-95,3,2,4,5,5,2,2,2,2,1,2,4,1,2,95012
198,1,13,3,1,5,1,8,5,3,3,3,2,3,2,1,3,4,2,4,2,2,6,6,2,6,2,3,4,2,2,6,3,3,2,3,3,3,3,2,3,3,2,2,3,2,3,2,2,2,3,3,7,7,6,2,2,1,1,1,3,3,2,3,6,9,5,4,5,5,1,3,2,3,2,2,2,3,15,15,1,1,,2,1,1,1,3,3,2,1,3,3,3,3,3,1,2,1,0,6,2,7,10,7,5,6,3,3,3,3,3,3,3,5,3,3,3,5,5,3,2,1,3,2,4,4,4,1,4,1,2,86,1,1,1939,,2,,,1,2,1,2,7,3,2,1,,7,,3,5,5,3,0.424234316666656,95,2025,9,5,5-95,3,1,10,4,1,1,1,1,2,2,2,8,1,20,95198
192,1,13,10,4,4,4,10,6,3,2,2,1,4,2,-8,-8,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,1,2,2,10,10,10,2,2,3,1,1,1,1,2,5,0,-8,-8,-8,-8,-8,-8,5,3,3,3,3,3,3,15,15,2,,5,4,4,8,8,-8,3,3,3,3,3,3,3,3,3,3,3,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2,7,3,2,3,4,1,4,4,2,2,34,17,12,1990,,2,,,1,1,1,1,8,1,2,1,,1,,1,3,3,3,0.414187649534441,95,2025,9,6,6-95,2,14,6,2,,-8,-8,-8,-8,-8,-8,4,2,20,95192
198,1,13,5,4,3,2,3,5,1,3,2,3,4,3,1,10,3,4,3,5,3,6,6,6,6,5,3,1,3,3,6,2,2,3,3,4,3,2,2,3,3,2,4,4,4,2,3,2,2,4,3,2,1,5,2,2,3,2,2,3,2,2,8,3,3,9,5,8,8,3,3,3,2,2,3,3,3,18,,1,2,,2,1,1,1,5,3,2,3,2,1,2,3,1,2,1,2,5,7,3,9,10,10,7,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,3,2,4,4,4,3,4,5,2,39,17,11,1985,,2,,,1,0,,,8,5,2,1,,1,,1,4,4,4,0.686739365581027,95,2025,9,7,7-95,14,1,3,3,5,2,2,2,1,1,2,3,1,20,95198
80,1,7,8,2,2,5,7,5,3,2,3,2,4,2,2,6,3,3,1,2,6,6,6,3,6,6,4,2,6,3,6,3,3,3,4,4,3,4,3,4,3,4,4,4,3,3,3,2,1,3,4,7,1,6,2,2,2,1,1,2,1,1,7,4,3,3,5,5,8,3,4,2,2,2,2,3,3,20,,1,1,,3,1,1,1,8,3,2,3,3,3,3,3,1,2,1,2,5,7,1,5,0,6,5,8,8,8,8,5,5,8,8,8,8,5,8,8,8,8,8,9,3,4,4,4,4,1,5,1,2,24,5,5,2002,,2,,,1,1,1,1,2,5,2,1,,8,,3,1,4,4,0.756931403392226,95,2025,9,8,8-95,1,11,10,3,4,2,2,1,1,1,1,4,1,10,95080
142,1,13,3,1,3,1,7,5,4,2,4,3,3,1,1,5,5,3,3,1,2,4,2,4,6,1,1,5,2,6,6,2,2,3,4,3,2,3,2,3,3,2,1,3,2,2,2,3,2,3,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,8,,-8,-8,-8,8,8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,8,1,62,1,1,1963,,-8,,,9,,,,-8,-8,-8,-8,,-8,,8,-8,-8,2,0.417875662007973,95,2025,9,9,9-95,3,10,26,-8,,-8,-8,-8,-8,-8,-8,,-8,20,95142
188,1,13,11,5,5,5,10,7,1,1,3,2,5,3,2,7,2,3,2,4,3,2,6,6,6,6,6,3,6,6,6,2,4,1,3,3,3,2,2,4,3,2,3,1,2,3,-8,2,2,4,2,6,10,10,3,2,1,1,2,3,2,1,5,5,5,5,5,5,5,2,4,3,3,3,3,3,3,18,,1,2,,2,2,1,1,5,3,3,3,3,1,2,3,3,2,1,2,5,6,1,8,8,7,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,9,2,3,4,4,4,3,2,1,1,36,3,9,1989,,2,,,1,0,,,1,5,2,1,,3,,2,2,2,3,1.35559628683756,95,2025,9,10,10-95,3,14,6,2,5,2,2,2,1,1,1,4,1,20,95188
